   0.329670E+17   0.581156E+41
   0.319149E+17   0.671903E+41
   0.312500E+17   0.730532E+41
   0.306122E+17   0.884930E+41
   0.300000E+17   0.115806E+42
   0.294118E+17   0.124323E+42
   0.288462E+17   0.132085E+42
   0.283019E+17   0.140876E+42
   0.277778E+17   0.149779E+42
   0.272727E+17   0.162054E+42
   0.263158E+17   0.181826E+42
   0.254237E+17   0.201861E+42
   0.247934E+17   0.237818E+42
   0.240000E+17   0.263899E+42
   0.236220E+17   0.278629E+42
   0.234375E+17   0.285923E+42
   0.229008E+17   0.306558E+42
   0.227273E+17   0.317368E+42
   0.223881E+17   0.329872E+42
   0.218978E+17   0.359243E+42
   0.214286E+17   0.383185E+42
   0.209790E+17   0.438110E+42
   0.204082E+17   0.505665E+42
   0.198675E+17   0.530749E+42
   0.193548E+17   0.599228E+42
   0.188679E+17   0.650852E+42
   0.185185E+17   0.691535E+42
   0.180723E+17   0.749672E+42
   0.176471E+17   0.809801E+42
   0.173410E+17   0.843004E+42
   0.169492E+17   0.924604E+42
   0.166667E+17   0.977005E+42
   0.164835E+17   0.101392E+43
   0.161290E+17   0.108838E+43
   0.157068E+17   0.118619E+43
   0.154639E+17   0.125038E+43
   0.151515E+17   0.133815E+43
   0.148515E+17   0.143038E+43
   0.146341E+17   0.150222E+43
   0.142857E+17   0.160007E+43
   0.138889E+17   0.178893E+43
   0.136364E+17   0.190568E+43
   0.134529E+17   0.198881E+43
   0.132159E+17   0.212105E+43
   0.130435E+17   0.301963E+43
   0.128205E+17   0.977032E+43
   0.125000E+17   0.447185E+44
   0.121951E+17   0.474563E+44
   0.119048E+17   0.559718E+44
   0.116732E+17   0.212901E+44
   0.115385E+17   0.613332E+44
   0.113636E+17   0.824556E+44
   0.111524E+17   0.888954E+44
   0.109489E+17   0.929768E+44
   0.107527E+17   0.955498E+44
   0.105634E+17   0.102740E+45
   0.103448E+17   0.102697E+45
   0.101351E+17   0.100552E+45
   0.996678E+16   0.594540E+44
   0.974026E+16   0.887735E+44
   0.943396E+16   0.145590E+45
   0.914634E+16   0.161159E+45
   0.887574E+16   0.173113E+45
   0.862069E+16   0.184479E+45
   0.840336E+16   0.201556E+45
   0.819672E+16   0.223634E+45
   0.800000E+16   0.234592E+45
   0.779221E+16   0.239901E+45
   0.759494E+16   0.265069E+45
   0.740741E+16   0.287069E+45
   0.724638E+16   0.299825E+45
   0.710900E+16   0.307149E+45
   0.697674E+16   0.314013E+45
   0.680272E+16   0.338883E+45
   0.665188E+16   0.355775E+45
   0.652174E+16   0.362205E+45
   0.638298E+16   0.377400E+45
   0.625000E+16   0.400338E+45
   0.612245E+16   0.404422E+45
   0.600000E+16   0.434001E+45
   0.592885E+16   0.455963E+45
   0.585938E+16   0.577497E+45
   0.576923E+16   0.583796E+45
   0.566038E+16   0.588809E+45
   0.555556E+16   0.579404E+45
   0.545455E+16   0.601952E+45
   0.535714E+16   0.679336E+45
   0.526316E+16   0.716610E+45
   0.517241E+16   0.724324E+45
   0.508475E+16   0.759562E+45
   0.500000E+16   0.748383E+45
   0.491803E+16   0.698436E+45
   0.483871E+16   0.859572E+45
   0.476190E+16   0.872498E+45
   0.468750E+16   0.915336E+45
   0.461538E+16   0.933060E+45
   0.455927E+16   0.931199E+45
   0.451128E+16   0.982253E+45
   0.444444E+16   0.102817E+46
   0.437956E+16   0.100081E+46
   0.431655E+16   0.108386E+46
   0.425532E+16   0.104107E+46
   0.418994E+16   0.116292E+46
   0.413223E+16   0.119327E+46
   0.408163E+16   0.122649E+46
   0.402685E+16   0.124318E+46
   0.397351E+16   0.127117E+46
   0.392157E+16   0.120128E+46
   0.387097E+16   0.133473E+46
   0.382166E+16   0.135311E+46
   0.377358E+16   0.140123E+46
   0.372671E+16   0.143604E+46
   0.368098E+16   0.147354E+46
   0.363636E+16   0.151892E+46
   0.359281E+16   0.139038E+46
   0.355030E+16   0.157548E+46
   0.350877E+16   0.160152E+46
   0.346821E+16   0.165563E+46
   0.342857E+16   0.169366E+46
   0.338983E+16   0.173163E+46
   0.335196E+16   0.177077E+46
   0.331492E+16   0.179105E+46
