 C  -2.34  -1.72  -1.51 
 N  -5.42  -6.12  -6.49 
 O  -1.59  -0.94  -0.58 
 Si  -3.04  -3.17  -1.29 
 Fe  -2.71  -4.31  -1.87 
 Zn  -5.95  -7.16  -6.98   
